,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4122.88235877917,4015.28594235341,4013.56666487471,4829.03631397416,4331.46224330109,4450.23841106718,4253.70803743579,4172.7929503674,4212.98252620224,4390.59016551533,4314.12757730418,4274.59511305832,4304.83475893285,4670.18113819967,4384.12048266038,4475.01935328771,4618.28629473891,4591.77955372968,4591.35823922128,4268.7951322014,4457.80383216584,4488.35867027093,4487.46039195845,4373.66185288591
,2,4116.88210897565,4007.97397847148,4003.3588355668,4835.94585212349,4318.04058407122,4475.74600375964,4250.18587441447,4157.66537951259,4214.80621544028,4387.08032914658,4311.01315516791,4273.90106187374,4298.83342628132,4661.57005116704,4382.54986003956,4475.52092082263,4672.43237441661,4565.92656043011,4556.00032994385,4268.75438121523,4458.09098306939,4487.34461373391,4590.64680328487,4390.80199859112
,3,4114.44700622791,4009.04952253263,4003.61607720717,4857.67093656112,4306.98947181738,4478.9719940966,4248.91827213341,4140.79592959569,4211.53480239512,4395.64492565201,4311.27448147127,4282.55275083891,4304.61344515017,4654.59311304565,4382.62842804741,4472.40616956056,4703.76354617601,4541.70144697683,4525.86113021598,4266.22075303011,4456.23405521127,4492.83047024753,4650.83156433733,4427.16689589255
,4,4115.5782596246,4007.31749448822,4001.8069837153,4881.76075905545,4303.9150413953,4457.61287380758,4257.83325030107,4134.56315720482,4208.93796111293,4417.12586017903,4311.20532693543,4296.56597881436,4302.6050273063,4647.7362915772,4382.70292452608,4471.36304208412,4670.38988304355,4529.86145736898,4507.46190648542,4261.4225939504,4457.27783242443,4495.08989906324,4613.57419451306,4532.87452728323
,5,4118.54741502992,4012.57951727093,3997.95460725094,4880.39249251019,4300.56098272655,4440.09242431596,4257.93895461887,4130.69129014653,4210.90549261906,4425.43055318462,4314.1411415161,4351.43979435532,4302.81884116725,4644.9828298545,4383.20717226985,4470.73616833972,4640.35654341488,4521.19984479044,4503.50989847685,4263.62355592324,4458.35769896948,4489.61436576956,4560.52710768099,4611.06833301336
,6,4118.51676369445,4008.34648738419,3998.27934474097,4865.67975313458,4300.62666917834,4434.29413716462,4260.36123694628,4127.27959475048,4212.99523546333,4414.2415764743,4310.3489782011,4359.22702749493,4304.57364483583,4641.00228433929,4382.91445187188,4471.2813316174,4613.9042158817,4519.16112788637,4492.08493968698,4262.19957250665,4455.05722553771,4489.19507198074,4516.90893582985,4577.68717920863
,7,4115.67808814212,4011.98215914295,3998.538994157,4857.38446516248,4297.88105828952,4432.21448300733,4258.18786281112,4124.42755733142,4212.0116785807,4403.7552922882,4309.91841042214,4338.23265838498,4306.72510937964,4638.93129434099,4384.63927190634,4477.28535943361,4597.39747799841,4519.95131238579,4481.65776573443,4263.84837630458,4458.17897092117,4486.64130874314,4487.23366002844,4538.69746678735
,8,4115.29805238448,4012.64583952408,4002.31908938615,4849.54647563636,4295.36101323693,4429.42683631417,4265.94127076837,4122.31999985672,4211.98381786309,4398.32242057758,4310.20161742763,4324.48268691648,4309.54312041968,4635.98564715703,4379.88262825873,4472.74742801082,4589.82326876505,4513.90089564894,4476.68845521768,4261.02249150031,4459.43360383742,4486.56398049167,4460.89175500961,4496.45530293908
,9,4118.90918772195,4008.74202000624,3997.69645775677,4846.49993623444,4296.00198516487,4428.05103082261,4266.44566153625,4122.02872242645,4208.66465746705,4388.95127419392,4310.05946435137,4305.8840314429,4313.12837651985,4636.09947345501,4386.65037262112,4473.75045099982,4578.36353734264,4512.60355302386,4476.16484962801,4265.40804171814,4456.211969956,4487.42777838881,4444.73562633003,4459.72274761109
,10,4117.26025225697,4004.38692746559,3998.63103352334,4839.80595513693,4292.23536283965,4424.72949465486,4272.4785346104,4122.06652403298,4212.95347604671,4385.55066412254,4307.1624124336,4296.64164890685,4320.83197954528,4635.48496634971,4385.10971186276,4474.73236010017,4575.39504027272,4508.52692091715,4475.82883746828,4259.29181612616,4455.2102146022,4489.22663934449,4432.62809889721,4438.19680667087
,11,4117.02535346765,4009.6270462536,3996.81194234562,4839.12124436029,4296.77968577774,4419.98782780219,4295.62497011207,4115.77576582926,4216.22633599435,4382.10482678667,4305.82091881252,4286.29840204704,4324.03313025183,4635.12427904972,4388.39007701743,4471.2105658692,4570.13712001323,4512.94959186143,4471.46905615828,4256.48247678972,4458.32463289724,4486.84128905518,4424.85011521745,4418.4952499153
,12,4114.79637109542,4005.56275693301,3996.4228661843,4835.98876084045,4295.43633227051,4422.88971212608,4319.2906276567,4121.9106128556,4206.25795039976,4379.02654476814,4308.79491199124,4285.17201591813,4334.67495200798,4635.35195097933,4384.42896028014,4473.35299504217,4572.65635198129,4507.91339130428,4471.52003903877,4261.67073076527,4455.4247880235,4491.4691626918,4419.79808245076,4400.6674865025
,13,4122.59937992276,4006.43881139608,4001.137874154,4838.40188529493,4293.74970870388,4421.57788926022,4317.94001733409,4120.39269891125,4213.13534201161,4377.66109482168,4313.71517556277,4277.1027322587,4364.90059072665,4634.93717311052,4387.72845114778,4473.9650663164,4565.61242583895,4509.24407950661,4472.17719519598,4262.04066662757,4454.51250275339,4486.33137911684,4412.63448455224,4393.57058579004
,14,4120.70106676797,4014.31756158488,4001.69695229738,4840.10869662673,4298.22342340375,4421.92344002985,4305.27799920692,4123.90021234396,4216.88011791391,4381.46703632782,4311.08684749242,4272.03979490437,4373.50863059388,4636.15433686279,4389.76864643379,4474.76249016475,4571.8172247325,4510.10851910398,4472.40223033096,4264.54085784231,4457.34637559327,4493.08095296934,4409.82085538696,4388.15825959443
,15,4124.74331774922,4005.22241010842,3998.36989108072,4840.95804422637,4293.13197072686,4424.13182414023,4295.67458201424,4119.31431154948,4218.0605762346,4382.19221626345,4313.05015600891,4276.36205428264,4359.59977915911,4640.43977475977,4380.79665571306,4478.16869490711,4572.14879353834,4512.19310693131,4470.451743308,4260.30324106367,4458.63705052783,4491.15895077512,4412.38687501879,4375.2009970782
,16,4124.51723313884,4009.01242954277,4003.09329573814,4836.16747624705,4299.19580039346,4424.54665628446,4287.38032970398,4121.31542197805,4213.45773511293,4383.09381108193,4311.30525182399,4271.12775800104,4338.24285908824,4635.47325419951,4386.1494859314,4477.15462626147,4572.15465750035,4512.40013271631,4471.76284922789,4257.71937031103,4454.12017221153,4488.14241972202,4409.08623293318,4372.38499567381
,17,4123.46948150779,4010.45715068759,4000.49904069432,4839.28455446898,4299.24329177767,4427.10629370213,4279.60526334756,4123.98626252485,4212.21228812461,4381.02119111643,4311.92152063802,4275.13075835603,4328.53367061942,4633.13673083505,4385.68028183241,4475.0384098485,4569.90979232465,4512.08344060229,4470.67314456007,4262.79202000627,4458.39484245477,4490.81255113549,4408.38780684114,4370.50878155243
,18,4124.7889804655,4009.42383731065,3998.4589704238,4839.49070689172,4296.83365115659,4422.12938205502,4271.92312395943,4123.59785989093,4213.18009880806,4379.65850201011,4308.37942594819,4275.10426077816,4318.66785595536,4635.18413610111,4385.60717523037,4478.15181489841,4566.19421632365,4505.80874337413,4467.83445654214,4262.45669779363,4455.01433853143,4492.14043083091,4403.46355552857,4368.74647379206
,19,4119.40844794089,4006.91853960149,3997.05057645968,4841.47970267215,4295.83985422268,4423.21583276864,4273.1472611888,4115.34741758689,4215.97241571817,4372.89882798154,4312.9089204109,4270.65384709505,4311.36090994792,4634.36979852666,4388.37263278047,4481.6506927107,4565.82829088277,4508.73525222103,4469.17874106266,4259.8577056894,4453.98074859857,4495.81420583582,4401.22007699434,4371.13814025083
,20,4119.7053438691,4011.8177181727,3998.6058904475,4836.70354174532,4299.9833469765,4419.37916251881,4270.62122190828,4117.28140725033,4216.75456614391,4377.48531515775,4315.01813510472,4268.99189111501,4307.66321106119,4638.48601286243,4389.48480686136,4480.21733602106,4564.62801946488,4511.29875743752,4468.45196417869,4262.48990906861,4461.76997004681,4497.59245467391,4406.59001230804,4367.16231553039
,21,4117.45209854564,4008.68028407638,4002.66858930875,4842.56876478591,4301.26768320033,4422.91167829509,4269.30066415635,4120.71506875942,4213.43402113035,4377.58172311603,4312.28383049273,4270.89180158349,4305.17785590178,4638.13357148691,4381.29017168332,4488.78377817825,4567.00194691466,4511.06175431774,4471.10325888566,4262.11757295928,4454.53772900548,4499.01413878783,4403.77128794385,4363.88025931459
,22,4117.08779445094,4008.47620872191,4001.0986838719,4846.70295450606,4304.38078241779,4422.1245330497,4270.67214759777,4123.98376510492,4219.44824370416,4378.52646831445,4312.96211456976,4268.07646768681,4306.57343818727,4640.43045440469,4384.51783585032,4503.97387151789,4569.37802668738,4515.8843480098,4474.42564392307,4262.34989549595,4460.82320912479,4508.60349918807,4404.86469733282,4366.72453791497
,23,4120.88870406983,4008.25316459306,4002.67836350914,4851.5249237071,4303.57909473841,4422.37253856454,4267.44293575712,4124.81295731574,4214.57318717607,4382.11572149454,4318.90599919607,4274.23053333517,4303.08856673933,4638.0673593595,4390.38899899623,4527.25047128007,4570.37143863562,4509.65166372027,4475.11636555726,4258.66154666135,4459.07464511651,4521.91166240669,4404.64289090017,4361.05011297353
,24,4123.63454918927,4012.19581951337,3998.54471321599,4850.96913464056,4297.85192956332,4426.50608751151,4270.23269415157,4123.95408342452,4214.34586260689,4377.43721724641,4312.41809630414,4270.98186504539,4304.31899739612,4636.37323394464,4388.08813467657,4617.34390330831,4567.20677084059,4514.47784067839,4466.71025650969,4264.55289031434,4458.75036584189,4536.3735108537,4403.80060291952,4359.83351789839
,25,4124.63224980766,4009.45509923545,4003.53363437781,4847.39526989581,4303.60419075562,4426.12592364875,4270.91328764396,4126.08055797495,4215.67154954391,4381.99853194283,4316.83623642901,4276.97465246813,4302.39018677171,4637.99387944752,4388.01129099431,4686.6346555058,4565.92536876829,4511.75029413143,4470.18364765516,4263.10709778507,4462.72778145738,4560.91567107328,4404.94327469568,4364.85417686694
,26,4120.8061717457,4014.46002855402,4000.59686923436,4852.45882454446,4306.74784396955,4424.55541549267,4264.38300003344,4125.40155412227,4217.807107862,4380.31129824235,4314.37683813537,4270.30235223671,4303.51603467605,4638.60029352421,4387.94889318937,4652.74574564742,4566.06960397469,4511.88387219489,4470.39589818753,4262.25092144879,4459.80812411469,4645.87934578814,4404.18374348823,4363.26253436215
,27,4123.43614716388,4015.49993508053,4005.57732000531,4851.47534197825,4303.45426137143,4423.81973448818,4270.50990613142,4124.20553348923,4220.19622914253,4379.88802479619,4318.4937463089,4269.70172130703,4301.03924713452,4641.26850061666,4391.91432838376,4609.00858267572,4570.29249714339,4509.13232169766,4469.87080871498,4265.59177626285,4465.37853224278,4716.74418461881,4410.10139729818,4356.56086238224
,28,4123.99908512042,4013.19194316036,4003.10960751103,4853.99046294142,4306.65423309375,4425.77236518661,4269.1835063463,4125.52630042754,4217.71898096278,4381.45907203202,4313.87214758418,4268.59245126868,4302.30477992928,4640.6553645622,4391.02277266237,4578.92085975939,4569.84886570927,4515.84969728681,4465.98001554461,4265.81157883317,4461.82620926924,4677.51108187146,4404.91784318264,4362.03323451817
,29,4127.07221601563,4007.78704911099,4002.62369558598,4857.09961420831,4305.78233331511,4425.67728378918,4264.76706297291,4125.72474039492,4219.32278460467,4384.31532930408,4312.876416039,4272.67160381416,4302.93412226889,4644.98029050235,4392.24339595905,4547.44162001728,4568.00285139605,4511.77789057106,4471.49522448409,4268.16398903567,4467.23277367397,4635.87439942179,4403.3271738759,4363.36011594249
,30,4124.8468652262,4015.98910396301,4004.59268645636,4852.85180414206,4303.21247853607,4429.25390102557,4268.2920103915,4125.11923609345,4217.2751583858,4383.02137958515,4314.5999079122,4273.72843018603,4303.23805533038,4639.55664562786,4393.34685081392,4531.73368187082,4570.01770087647,4511.75574796084,4470.68688923131,4271.28756733455,4465.68930251547,4591.61109855082,4401.46442509437,4362.38953599185
,31,4129.11672260725,4014.15018294541,4003.83690061608,4852.07390666476,4306.99690155256,4426.61417708999,4269.85077318936,4127.10969917451,4219.32457465088,4382.68392928719,4319.66987800928,4270.86267682429,4306.36296627607,4638.46021962997,4394.71346996125,4515.23947358941,4566.59291166417,4513.45028723894,4473.21097424718,4280.12626834658,4467.47989673777,4564.21833049624,4408.77988567245,4360.97037287982
,32,4129.49869259954,4015.72110755305,4006.41699963415,4856.5053389036,4304.35712891941,4426.61659458006,4271.62749093837,4122.41665780282,4219.07297510584,4380.93811160191,4313.08424650265,4270.79065750185,4304.30218098453,4641.32990693999,4395.77172531777,4510.3747111925,4569.285003685,4510.49293131753,4477.34034246598,4289.32974296899,4475.44942423941,4539.97350411463,4399.2853299814,4357.3380398267
,33,4124.76168953938,4010.63372822563,4002.59564011934,4854.07698103307,4307.58555000903,4422.52606213974,4268.7063281345,4122.71559605449,4214.05949033296,4379.86726428149,4316.7198847358,4269.58572926188,4298.59295672853,4639.66879285822,4398.76455801453,4500.02004052437,4567.63116581045,4509.67746050503,4467.57657160649,4303.30095949639,4480.25267723924,4529.09661598278,4405.53617359351,4360.8760771019
,34,4126.37406533684,4014.34936664088,4006.95772184878,4854.48881582254,4306.3681245484,4427.01975011765,4269.04315025302,4122.9835556323,4218.43416158692,4381.63004702082,4318.47661125701,4266.8514034965,4299.21192812705,4637.10559483515,4406.12132651934,4490.11780102278,4569.50336458373,4511.81010632547,4469.66258379741,4356.03262468232,4493.0062586251,4517.65801461612,4403.89899429954,4359.47971191205
,35,4119.54494190485,4014.69147722476,4002.24619312094,4859.16489431463,4304.86387352337,4426.9305346427,4271.00195092982,4128.59252681171,4222.07046231209,4381.97902814195,4319.00679757701,4265.65842959611,4302.7493258168,4640.03769545841,4416.07305000836,4488.68802023597,4569.66833550099,4510.32476732993,4472.12503840777,4489.00126109932,4501.89278681123,4509.66505199899,4403.19057898776,4360.94393173913
,36,4129.46175585136,4017.62790158155,4003.81209548148,4855.69806206796,4309.73553101001,4430.4104543433,4270.99831421756,4127.06986509535,4221.10987935669,4384.41820161064,4318.56126792069,4271.46798771937,4302.23836937181,4644.3164694577,4434.81540143779,4489.71272002836,4569.56538764602,4515.02903622317,4472.22299751449,4497.90475007856,4521.45193609446,4505.05673279367,4407.80557573308,4362.50895698326
,37,4130.84663208446,4020.10791242866,4004.07354279082,4860.86578898305,4304.52052551499,4428.82567817746,4272.66561534172,4126.43450908013,4218.73123386138,4383.27194678213,4320.40661675056,4271.99366208359,4307.26168192558,4646.90206211048,4474.79951078754,4487.61723655155,4572.67217706236,4510.46297288709,4476.92401825056,4448.44579948403,4582.28279767311,4507.26122086393,4408.82545395054,4360.95228521771
,38,4132.10680282737,4014.51178879782,4000.16758420932,4857.45994831113,4309.83789075455,4429.55748667966,4271.09364824547,4124.26504847929,4219.20668199257,4380.81118276243,4313.90284030473,4273.2104362897,4306.10703548233,4641.18193225148,4557.49423159549,4486.14460061643,4569.77394758013,4515.96700236842,4472.80121776485,4406.16050948388,4639.60452915355,4503.66309292803,4409.46050005762,4360.4427241069
,39,4133.23196914797,4019.98096470067,4004.29658175168,4862.82326381776,4307.28584643576,4428.64822869107,4270.10226024697,4129.62964440562,4217.12384830501,4383.17101668226,4321.90968476467,4275.60055389512,4306.82763448628,4644.2333679178,4547.89560504648,4489.66583124914,4571.67645278432,4516.14518135597,4479.25289388087,4369.36614837978,4614.57548975955,4502.3207779486,4410.99949131719,4364.08935137062
